Track Name,Instrument
0108__3,cla
0075__2,cel
0075__2,cla
0103__3,cel
0082__2,cel
0082__2,cla
0005__1,cel
0005__1,cla
0001__3,cel
0001__3,cla
012__0043__3,cel
012__0043__3,cla
0115__1,cel
0115__1,cla
0076__2,cel
0076__2,cla
0070__1,cel
0070__1,cla
0073__3,cel
0073__3,cla
0017__1,cel
0017__1,cla
0115__2,cel
0115__2,cla
008__0058__3,cel
008__0058__3,cla
0067__2,cel
0004__2,cel
0004__2,cla
0093__2,cel
0070__2,cel
0070__2,cla
082__0035__2,cel
082__0035__2,cla
0065__2,cel
0102__2,cel
0004__1,cel
0004__1,cla
114__0049__2,cel
114__0049__2,cla
0139__1,cel
0082__1,cel
0082__1,cla
0062__2,cel
0123__3,cel
0123__3,cla
0075__3,cel
0075__3,cla
0072__1,cel
0072__1,cla
065__0059__1,cel
065__0059__1,cla
0101__1,cel
088__0044__3,cel
088__0044__3,cla
0085__2,cel
041__0023__3,cel
041__0023__3,cla
0076__3,cel
0076__3,cla
048__0022__2,cel
048__0022__2,cla
0119__1,cel
0119__1,cla
130__0040__1,cel
130__0040__1,cla
0003__2,cel
0003__2,cla
033__0031__2,cel
033__0031__2,cla
031__0020__2,cel
031__0020__2,cla
061__0032__2,cel
061__0032__2,cla
115__0055__2,cel
115__0055__2,cla
046__0034__2,cel
046__0034__2,cla
060__0045__3,cel
060__0045__3,cla
0099__1,cel
0009__2,cel
0141__1,cel
089__0026__1,cel
089__0026__1,cla
0130__3,cel
0010__2,cel
032__0033__1,cel
032__0033__1,cla
0088__2,cel
130__0040__3,cel
130__0040__3,cla
0116__1,cel
0116__1,cla
0125__2,cel
0125__2,cla
0069__1,cel
0069__1,cla
119__0057__1,cel
119__0057__1,cla
0095__2,cel
0081__1,cel
0081__1,cla
0100__1,cel
0111__3,cel
132__0048__2,cel
132__0048__2,cla
0094__1,cel
0083__2,cel
0083__2,cla
0136__3,cel
0090__2,cel
0090__1,cel
014__0041__3,cel
014__0041__3,cla
0005__2,cel
0005__2,cla
032__0033__2,cel
032__0033__2,cla
082__0035__3,cel
082__0035__3,cla
0148__3,cel
0148__3,cla
0100__2,cel
0063__3,cel
078__0052__2,cel
078__0052__2,cla
0132__1,cel
056__0038__1,cel
056__0038__1,cla
101__0054__2,cel
101__0054__2,cla
075__0021__3,cel
075__0021__3,cla
0111__1,cel
027__0027__1,cel
027__0027__1,cla
033__0031__3,cel
033__0031__3,cla
0120__1,cel
0130__2,cel
061__0032__3,cel
061__0032__3,cla
0016__2,cel
127__0047__1,cel
127__0047__1,cla
0002__3,cel
0002__3,cla
0098__3,cel
0124__1,cel
0124__1,cla
114__0049__1,cel
114__0049__1,cla
056__0038__2,cel
056__0038__2,cla
0118__2,cel
0121__2,cel
0121__2,cla
0067__1,cel
088__0044__2,cel
088__0044__2,cla
0019__3,cel
0019__3,cla
0013__3,cel
115__0055__3,cel
115__0055__3,cla
0006__3,cel
075__0021__1,cel
075__0021__1,cla
032__0033__3,cel
032__0033__3,cla
0123__1,cel
0123__1,cla
0090__3,cel
0118__1,cel
0078__3,cel
0078__3,cla
082__0035__1,cel
082__0035__1,cla
0012__3,cel
042__0042__1,cel
042__0042__1,cla
0127__3,cel
0118__3,cel
089__0026__2,cel
089__0026__2,cla
012__0043__1,cel
012__0043__1,cla
048__0022__3,cel
048__0022__3,cla
106__0028__3,cel
106__0028__3,cla
0119__2,cel
0119__2,cla
0133__2,cel
0114__1,cel
0114__1,cla
0067__3,cel
0099__3,cel
0084__1,cel
0084__1,cla
0095__1,cel
0064__1,cel
125__0046__3,cel
125__0046__3,cla
0140__2,cel
0097__2,cel
0069__2,cel
0069__2,cla
0101__3,cel
031__0020__1,cel
031__0020__1,cla
120__0030__2,cel
120__0030__2,cla
0122__1,cel
0122__1,cla
0075__1,cel
0075__1,cla
125__0046__2,cel
125__0046__2,cla
0134__3,cel
0074__3,cel
0074__3,cla
043__0029__1,cel
043__0029__1,cla
0132__3,cel
0077__2,cel
0077__2,cla
130__0040__2,cel
130__0040__2,cla
0124__3,cel
0124__3,cla
0066__1,cel
106__0028__1,cel
106__0028__1,cla
090__0024__1,cel
090__0024__1,cla
0092__1,cel
0078__2,cel
0078__2,cla
0144__1,cel
0065__3,cel
0007__2,cel
0007__2,cla
101__0054__3,cel
101__0054__3,cla
0076__1,cel
0076__1,cla
038__0039__1,cel
038__0039__1,cla
132__0048__1,cel
132__0048__1,cla
0088__3,cel
0109__2,cel
0109__2,cla
0097__1,cel
0138__1,cel
0096__3,cel
0127__1,cel
0188__2,cla
0188__2,cla
0210__1,cla
0274__2,cla
0318__3,cla
0284__2,cla
0312__3,cla
0312__3,cla
0153__2,cla
0300__1,cla
0207__3,cla
0300__3,cla
088__0236__3,cla
088__0236__3,cla
0197__1,cla
0283__1,cla
0177__1,cla
0266__3,cla
0266__3,cla
060__0216__1,cla
060__0216__1,cla
0261__3,cla
0261__3,cla
125__0229__1,cla
125__0229__1,cla
0258__1,cla
0258__1,cla
0314__1,cla
0314__1,cla
0289__3,cla
0297__2,cla
0277__3,cla
0151__2,cla
0168__3,cla
0184__1,cla
0207__1,cla
140__0241__3,cla
140__0241__3,cla
030__0240__2,cla
030__0240__2,cla
180__0227__2,cla
180__0227__2,cla
0211__2,cla
0211__2,cla
0178__1,cla
114__0250__1,cla
114__0250__1,cla
0179__1,cla
0205__1,cla
0275__2,cla
0312__1,cla
0312__1,cla
0269__2,cla
0269__2,cla
0211__1,cla
0211__1,cla
044__0249__1,cla
044__0249__1,cla
100__0224__1,cla
100__0224__1,cla
0314__3,cla
0314__3,cla
0192__2,cla
0201__3,cla
0259__3,cla
0259__3,cla
0187__1,cla
0263__1,cla
0263__1,cla
004__0242__3,cla
004__0242__3,cla
156__0230__1,cla
156__0230__1,cla
0156__3,cla
0159__3,cla
0159__3,cla
0187__3,cla
0199__2,cla
152__0217__3,cla
152__0217__3,cla
0195__1,cla
0301__2,cla
0290__1,cla
0283__2,cla
0289__1,cla
012__0244__3,cla
012__0244__3,cla
0197__3,cla
0182__2,cla
184__0225__3,cla
184__0225__3,cla
0270__1,cla
0265__3,cla
0265__3,cla
0181__2,cla
114__0250__3,cla
114__0250__3,cla
0324__2,cla
0324__2,cla
0152__1,cla
0152__1,cla
017__0150__2,cla
017__0150__2,cla
0255__2,cla
0270__2,cla
140__0241__1,cla
140__0241__1,cla
0288__2,cla
0258__2,cla
0258__2,cla
0307__3,cla
0311__3,cla
099__0218__2,cla
099__0218__2,cla
0184__3,cla
0189__1,cla
0189__1,cla
0257__1,cla
0257__1,cla
0312__2,cla
0312__2,cla
100__0224__3,cla
100__0224__3,cla
0297__1,cla
053__0219__2,cla
053__0219__2,cla
0166__2,cla
0201__1,cla
0200__3,cla
0319__3,cla
0271__1,cla
0166__1,cla
0191__1,cla
040__0233__3,cla
040__0233__3,cla
184__0225__1,cla
184__0225__1,cla
0180__1,cla
054__0248__1,cla
054__0248__1,cla
0188__1,cla
0188__1,cla
0268__2,cla
0268__2,cla
0267__3,cla
0267__3,cla
116__0251__2,cla
116__0251__2,cla
0173__3,cla
0173__3,cla
0260__3,cla
0260__3,cla
0155__3,cla
0273__3,cla
0256__1,cla
0183__3,cla
054__0248__2,cla
054__0248__2,cla
0151__1,cla
019__0223__3,cla
019__0223__3,cla
0275__1,cla
0205__3,cla
0318__1,cla
0293__2,cla
0171__1,cla
0206__1,cla
0197__2,cla
0284__1,cla
0324__3,cla
0324__3,cla
0288__1,cla
0325__1,cla
0261__2,cla
0261__2,cla
0252__2,cla
053__0219__3,cla
053__0219__3,cla
0169__3,cla
0271__2,cla
0304__2,cla
0169__1,cla
0281__2,cla
072__0245__1,cla
072__0245__1,cla
0322__2,cla
0322__2,cla
0200__2,cla
0172__1,cla
0170__1,cla
098__0246__3,cla
098__0246__3,cla
0190__3,cla
0190__3,cla
0264__1,cla
0264__1,cla
0194__3,cla
0299__2,cla
112__0243__2,cla
112__0243__2,cla
152__0217__2,cla
152__0217__2,cla
0315__3,cla
0315__3,cla
0259__1,cla
0259__1,cla
0150__1,cla
0150__1,cla
0284__3,cla
145__0234__2,cla
145__0234__2,cla
0263__2,cla
0263__2,cla
0321__2,cla
030__0240__3,cla
030__0240__3,cla
116__0251__1,cla
116__0251__1,cla
0165__3,cla
0290__3,cla
144__0232__2,cla
144__0232__2,cla
0265__2,cla
0265__2,cla
0319__1,cla
060__0216__2,cla
060__0216__2,cla
0205__2,cla
0307__1,cla
083__0238__3,cla
083__0238__3,cla
0195__3,cla
088__0236__2,cla
088__0236__2,cla
0309__1,cla
0174__2,cla
0174__2,cla
0275__3,cla
0278__3,cla
0310__2,cla
0172__3,cla
0313__3,cla
0181__1,cla
0324__1,cla
0324__1,cla
135__0231__1,cla
135__0231__1,cla
0182__3,cla
112__0243__1,cla
112__0243__1,cla
081__0316__1,cla
081__0316__1,cla
0153__3,cla
0305__1,cla
0154__1,cla
040__0233__2,cla
040__0233__2,cla
0169__2,cla
0162__1,cla
0162__1,cla
0278__2,cla
0308__2,cla
0273__2,cla
135__0231__2,cla
135__0231__2,cla
0202__1,cla
0316__1,cla
0316__1,cla
180__0227__3,cla
180__0227__3,cla
0299__3,cla
0290__2,cla
0204__3,cla
0204__3,cla
0174__1,cla
0174__1,cla
0277__1,cla
0289__2,cla
0315__2,cla
0315__2,cla
098__0246__2,cla
098__0246__2,cla
0268__1,cla
0268__1,cla
0171__3,cla
0158__2,cla
0192__1,cla
0296__1,cla
0269__3,cla
0269__3,cla
0153__1,cla
097__0228__3,cla
097__0228__3,cla
031__0212__3,cla
031__0212__3,cla
0309__2,cla
0265__1,cla
0265__1,cla
0270__3,cla
135__0231__3,cla
135__0231__3,cla
0157__2,cla
0157__2,cla
0189__3,cla
0189__3,cla
012__0244__1,cla
012__0244__1,cla
0308__3,cla
0276__1,cla
0179__3,cla
021__0237__1,cla
021__0237__1,cla
100__0224__2,cla
100__0224__2,cla
0269__1,cla
0269__1,cla
0280__3,cla
0181__3,cla
0168__2,cla
0196__1,cla
0196__1,cla
0264__3,cla
0264__3,cla
0163__3,cla
0163__3,cla
093__0222__1,cla
093__0222__1,cla
181__0215__3,cla
181__0215__3,cla
0190__1,cla
0190__1,cla
0301__3,cla
180__0227__1,cla
180__0227__1,cla
097__0228__2,cla
097__0228__2,cla
0256__2,cla
0316__3,cla
0316__3,cla
019__0223__1,cla
019__0223__1,cla
0180__2,cla
0325__2,cla
0165__1,cla
0155__1,cla
0194__1,cla
0323__1,cla
0323__1,cla
0176__3,cla
053__0219__1,cla
053__0219__1,cla
0185__1,cla
0298__1,cla
0257__2,cla
0257__2,cla
0176__1,cla
0152__3,cla
0152__3,cla
0305__2,cla
0261__1,cla
0261__1,cla
0280__2,cla
0202__3,cla
0177__3,cla
0306__1,cla
0154__3,cla
0306__3,cla
0165__2,cla
047__0247__3,cla
047__0247__3,cla
099__0218__3,cla
099__0218__3,cla
0311__1,cla
0208__3,cla
0185__3,cla
0191__3,cla
0280__1,cla
093__0222__3,cla
093__0222__3,cla
0278__1,cla
0186__2,cla
0267__1,cla
0267__1,cla
0291__3,cla
0210__2,cla
021__0237__2,cla
021__0237__2,cla
0316__2,cla
0316__2,cla
0318__2,cla
021__0237__3,cla
021__0237__3,cla
0300__2,cla
0296__3,cla
0326__1,cla
0326__1,cla
0325__3,cla
181__0215__2,cla
181__0215__2,cla
072__0245__3,cla
072__0245__3,cla
0159__2,cla
0159__2,cla
0172__2,cla
0182__1,cla
0282__1,cla
187__0220__1,cla
187__0220__1,cla
0276__3,cla
0286__3,cla
0252__1,cla
0276__2,cla
0264__2,cla
0264__2,cla
099__0218__1,cla
099__0218__1,cla
083__0238__1,cla
083__0238__1,cla
0209__1,cla
0254__2,cla
0183__2,cla
0304__1,cla
012__0244__2,cla
012__0244__2,cla
0267__2,cla
0267__2,cla
0166__3,cla
0287__2,cla
0307__2,cla
0283__3,cla
0189__2,cla
0189__2,cla
0208__2,cla
060__0216__3,cla
060__0216__3,cla
097__0228__1,cla
097__0228__1,cla
0200__1,cla
0158__3,cla
093__0222__2,cla
093__0222__2,cla
0194__2,cla
0293__1,cla
0313__2,cla
125__0229__2,cla
125__0229__2,cla
0168__1,cla
0302__1,cla
0254__1,cla
0288__3,cla
0173__1,cla
0173__1,cla
0173__2,cla
0173__2,cla
0281__3,cla
0204__2,cla
0204__2,cla
0210__3,cla
0186__1,cla
0186__3,cla
0310__3,cla
0208__1,cla
0161__2,cla
0162__3,cla
0162__3,cla
0317__2,cla
0201__2,cla
144__0232__3,cla
144__0232__3,cla
0313__1,cla
047__0247__2,cla
047__0247__2,cla
0255__1,cla
0187__2,cla
0167__2,cla
0199__3,cla
0262__1,cla
0262__1,cla
0156__1,cla
017__0150__1,cla
017__0150__1,cla
0291__1,cla
0262__2,cla
0262__2,cla
0326__2,cla
0326__2,cla
0193__2,cla
0163__1,cla
0163__1,cla
030__0240__1,cla
030__0240__1,cla
0263__3,cla
0263__3,cla
0298__2,cla
0170__2,cla
098__0246__1,cla
098__0246__1,cla
0152__2,cla
0152__2,cla
187__0220__2,cla
187__0220__2,cla
0190__2,cla
0190__2,cla
0323__3,cla
0323__3,cla
0262__3,cla
0262__3,cla
0193__1,cla
112__0243__3,cla
112__0243__3,cla
081__0316__2,cla
081__0316__2,cla
0258__3,cla
0258__3,cla
054__0248__3,cla
054__0248__3,cla
083__0238__2,cla
083__0238__2,cla
0155__2,cla
0279__2,cla
140__0241__2,cla
140__0241__2,cla
0287__3,cla
0255__3,cla
0176__2,cla
0185__2,cla
0198__3,cla
0162__2,cla
0162__2,cla
0161__1,cla
004__0242__2,cla
004__0242__2,cla
101__0213__2,cla
101__0213__2,cla
152__0217__1,cla
152__0217__1,cla
004__0242__1,cla
004__0242__1,cla
0256__3,cla
0285__2,cla
0206__2,cla
0294__3,cla
0291__2,cla
0271__3,cla
0198__2,cla
0158__1,cla
183__0221__2,cla
183__0221__2,cla
0202__2,cla
0266__1,cla
0266__1,cla
031__0212__1,cla
031__0212__1,cla
116__0251__3,cla
116__0251__3,cla
163__0235__1,cla
163__0235__1,cla
0199__1,cla
0178__2,cla
0322__3,cla
0322__3,cla
0211__3,cla
0211__3,cla
0203__1,cla
0277__2,cla
0294__2,cla
0167__3,cla
101__0213__3,cla
101__0213__3,cla
0174__3,cla
0174__3,cla
0281__1,cla
0157__1,cla
0157__1,cla
0282__2,cla
0195__2,cla
0196__3,cla
0196__3,cla
163__0235__2,cla
163__0235__2,cla
0323__2,cla
0323__2,cla
0287__1,cla
0306__2,cla
0209__2,cla
144__0232__1,cla
144__0232__1,cla
0198__1,cla
0167__1,cla
0179__2,cla
031__0212__2,cla
031__0212__2,cla
0286__1,cla
0303__3,cla
040__0233__1,cla
040__0233__1,cla
0191__2,cla
0296__2,cla
187__0220__3,cla
187__0220__3,cla
0314__2,cla
0314__2,cla
0196__2,cla
0196__2,cla
0170__3,cla
0305__3,cla
0322__1,cla
0322__1,cla
058__0226__2,cla
058__0226__2,cla
0302__3,cla
0188__3,cla
0188__3,cla
0279__3,cla
183__0221__1,cla
183__0221__1,cla
114__0250__2,cla
114__0250__2,cla
0206__3,cla
0301__1,cla
0161__3,cla
047__0247__1,cla
047__0247__1,cla
156__0230__2,cla
156__0230__2,cla
0160__1,cla
0178__3,cla
0303__1,cla
058__0226__1,cla
058__0226__1,cla
0180__3,cla
101__0213__1,cla
101__0213__1,cla
0257__3,cla
0257__3,cla
0207__2,cla
0285__1,cla
0268__3,cla
0268__3,cla
125__0229__3,cla
125__0229__3,cla
0294__1,cla
0260__2,cla
0260__2,cla
181__0215__1,cla
181__0215__1,cla
0193__3,cla
0260__1,cla
0260__1,cla
0273__1,cla
044__0249__3,cla
044__0249__3,cla
0159__1,cla
0159__1,cla
0184__2,cla
0266__2,cla
0266__2,cla
0259__2,cla
0259__2,cla
058__0226__3,cla
058__0226__3,cla
0286__2,cla
183__0221__3,cla
183__0221__3,cla
0321__3,cla
0209__3,cla
0285__3,cla
0274__1,cla
0303__2,cla
0298__3,cla
0203__2,cla
0315__1,cla
0315__1,cla
0177__2,cla
0252__3,cla
0164__2,cla
0317__1,cla
0321__1,cla
184__0225__2,cla
184__0225__2,cla
0164__1,cla
0310__1,cla
0150__2,cla
0150__2,cla
0308__1,cla
072__0245__2,cla
072__0245__2,cla
0317__3,cla
0304__3,cla
0203__3,cla
0279__1,cla
088__0236__1,cla
088__0236__1,cla
145__0234__3,cla
145__0234__3,cla
0311__2,cla
163__0235__3,cla
163__0235__3,cla
0254__3,cla
0319__2,cla
0302__2,cla
044__0249__2,cla
044__0249__2,cla
0309__3,cla
0157__3,cla
0157__3,cla
0204__1,cla
0204__1,cla
0274__3,cla
0326__3,cla
0326__3,cla
145__0234__1,cla
145__0234__1,cla
0163__2,cla
0163__2,cla
019__0223__2,cla
019__0223__2,cla
0183__1,cla
0299__1,cla
0154__2,cla
0151__3,cla
0164__3,cla
0156__2,cla
081__0316__3,cla
081__0316__3,cla
156__0230__3,cla
156__0230__3,cla
0171__2,cla
0481__3,flu
0389__2,flu
0389__2,cla
0386__1,flu
0386__1,cla
159__0412__3,flu
0438__1,flu
0438__1,cla
0489__3,flu
018__0421__1,flu
0486__3,flu
0397__2,flu
0397__2,cla
0435__3,flu
0435__3,cla
0469__3,flu
009__0410__1,flu
0430__2,flu
0430__2,cla
0368__3,flu
0368__3,cla
0438__3,flu
0438__3,cla
0443__1,flu
0392__3,flu
0355__1,flu
0355__1,cla
0375__3,flu
0484__3,flu
0398__1,flu
0462__1,flu
0475__2,flu
0382__1,flu
0382__1,cla
0496__3,flu
0380__2,flu
0361__2,flu
0361__2,cla
0423__1,flu
0496__1,flu
0367__3,flu
0367__3,cla
0465__1,flu
0405__3,flu
0365__2,flu
0387__2,flu
0425__2,flu
0425__2,cla
0349__3,flu
0349__3,cla
0396__1,flu
0396__1,cla
0490__3,flu
0426__3,flu
0426__3,cla
0401__3,flu
0401__3,cla
0396__3,flu
0396__3,cla
139__0411__2,flu
0432__2,flu
105__0414__2,flu
0514__2,flu
0460__2,flu
0500__3,flu
0349__2,flu
0349__2,cla
0354__2,flu
0473__1,flu
150__0417__3,flu
0476__2,flu
0448__1,flu
0435__2,flu
0435__2,cla
160__0422__3,flu
0500__2,flu
0350__2,flu
0350__2,cla
0482__3,flu
0481__2,flu
0445__2,flu
0446__1,flu
151__0418__1,flu
0484__1,flu
009__0410__2,flu
0401__2,flu
0401__2,cla
0499__1,flu
0369__3,flu
0369__3,cla
105__0414__3,flu
0433__3,flu
0433__3,cla
0378__2,flu
0378__2,cla
061__0419__3,flu
0489__2,flu
0431__3,flu
0431__3,cla
0454__1,flu
0368__1,flu
0368__1,cla
0347__2,flu
0347__2,cla
008__0393__3,flu
008__0393__3,cla
0493__1,flu
0367__2,flu
0367__2,cla
0356__1,flu
0402__2,flu
0402__2,cla
0440__1,flu
0440__1,cla
0454__2,flu
0512__2,flu
0469__1,flu
0350__1,flu
0350__1,cla
0424__1,flu
0347__1,flu
0347__1,cla
0385__1,flu
0385__1,cla
0493__2,flu
0450__2,flu
0430__1,flu
0430__1,cla
0448__3,flu
0346__3,flu
0346__3,cla
0373__2,flu
0373__2,cla
0376__3,flu
0376__3,cla
0434__1,flu
0434__1,cla
0447__1,flu
0399__2,flu
0399__2,cla
0459__1,flu
030__0373__1,flu
030__0373__1,cla
0497__2,flu
0437__1,flu
0437__1,cla
0487__3,flu
0351__2,flu
0351__2,cla
159__0412__2,flu
0473__2,flu
0426__2,flu
0426__2,cla
0475__3,flu
0442__1,flu
0442__1,cla
0486__1,flu
0471__2,flu
0462__3,flu
0371__2,flu
0459__2,flu
0371__1,flu
0486__2,flu
0502__1,flu
0357__3,flu
0357__3,cla
093__0420__2,flu
0372__1,flu
0501__1,flu
0445__3,flu
0377__2,flu
0377__2,cla
0441__2,flu
0441__2,cla
0450__1,flu
0391__1,flu
0391__1,cla
0444__2,flu
093__0420__1,flu
0346__2,flu
0346__2,cla
0425__1,flu
0425__1,cla
0369__1,flu
0369__1,cla
0433__1,flu
0433__1,cla
0454__3,flu
0385__2,flu
0385__2,cla
0447__3,flu
0362__2,flu
0362__2,cla
0426__1,flu
0426__1,cla
0428__2,flu
0428__2,cla
0514__1,flu
0393__1,flu
0393__1,cla
0491__1,flu
0348__1,flu
0348__1,cla
0498__3,flu
0429__2,flu
0429__2,cla
0432__1,flu
0479__2,flu
0443__2,flu
044__0408__2,flu
0389__1,flu
0389__1,cla
0357__1,flu
0357__1,cla
0356__3,flu
0373__1,flu
0373__1,cla
0481__1,flu
0503__1,flu
0472__3,flu
0458__2,flu
0358__3,flu
0348__2,flu
0348__2,cla
0469__2,flu
0348__3,flu
0348__3,cla
0479__3,flu
0351__1,flu
0351__1,cla
0485__3,flu
0443__3,flu
0371__3,flu
0381__3,flu
058__0775__3,flu
0465__2,flu
0457__3,flu
0404__2,flu
0383__2,flu
0383__2,cla
0504__1,flu
0391__2,flu
0391__2,cla
0483__1,flu
0387__1,flu
0363__3,flu
0363__3,cla
0460__1,flu
0471__1,flu
0479__1,flu
0477__3,flu
0488__2,flu
0456__1,flu
0455__1,flu
0470__2,flu
0502__3,flu
0423__3,flu
033__0415__1,flu
0450__3,flu
024__0355__2,flu
